trainNumber,departureDate,operatorUICCode,operatorShortCode,trainType,trainCategory,commuterLineID,runningCurrently,cancelled,version,timetableType,timetableAcceptanceDate,stationShortCode,stationUICCode,countryCode,type,trainStopping,commercialStop,commercialTrack,cancelled,scheduledTime,actualTime,differenceInMinutes,causes,trainReady,liveEstimateTime,estimateSource
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,JNS,460,FI,DEPARTURE,True,True,3,False,2020-03-02T04:10:00.000Z,2020-03-02T04:10:00.000Z,0,[],"{'source': 'KUPLA', 'accepted': True, 'timestamp': '2020-03-02T04:04:52.000Z'}",,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,PLT,1070,FI,ARRIVAL,False,,,False,2020-03-02T04:10:34.000Z,2020-03-02T04:11:57.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,PLT,1070,FI,DEPARTURE,False,,,False,2020-03-02T04:10:34.000Z,2020-03-02T04:12:32.000Z,2,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SUL,1071,FI,ARRIVAL,False,,,False,2020-03-02T04:11:14.000Z,2020-03-02T04:14:12.000Z,3,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SUL,1071,FI,DEPARTURE,False,,,False,2020-03-02T04:11:14.000Z,2020-03-02T04:14:12.000Z,3,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,NTH,917,FI,ARRIVAL,False,,,False,2020-03-02T04:18:00.000Z,2020-03-02T04:19:25.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,NTH,917,FI,DEPARTURE,False,,,False,2020-03-02T04:18:00.000Z,2020-03-02T04:19:25.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,HSL,451,FI,ARRIVAL,False,,,False,2020-03-02T04:24:00.000Z,2020-03-02T04:24:35.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,HSL,451,FI,DEPARTURE,False,,,False,2020-03-02T04:24:00.000Z,2020-03-02T04:24:35.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,TKK,916,FI,ARRIVAL,False,,,False,2020-03-02T04:29:00.000Z,2020-03-02T04:29:02.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,TKK,916,FI,DEPARTURE,False,,,False,2020-03-02T04:29:00.000Z,2020-03-02T04:29:02.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SÄ,918,FI,ARRIVAL,False,,,False,2020-03-02T04:32:00.000Z,2020-03-02T04:31:50.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SÄ,918,FI,DEPARTURE,False,,,False,2020-03-02T04:32:00.000Z,2020-03-02T04:31:50.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KIT,453,FI,ARRIVAL,True,True,1,False,2020-03-02T04:42:00.000Z,2020-03-02T04:41:57.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KIT,453,FI,DEPARTURE,True,True,1,False,2020-03-02T04:43:00.000Z,2020-03-02T04:43:41.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,PUS,919,FI,ARRIVAL,False,,,False,2020-03-02T04:47:00.000Z,2020-03-02T04:48:01.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,PUS,919,FI,DEPARTURE,False,,,False,2020-03-02T04:47:00.000Z,2020-03-02T04:48:01.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KTI,966,FI,ARRIVAL,True,True,1,False,2020-03-02T05:01:00.000Z,2020-03-02T05:00:36.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KTI,966,FI,DEPARTURE,True,True,1,False,2020-03-02T05:02:00.000Z,2020-03-02T05:02:30.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,POI,965,FI,ARRIVAL,False,,,False,2020-03-02T05:07:57.000Z,,0,[],,2020-03-02T05:08:02.000Z,LIIKE_AUTOMATIC
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,POI,965,FI,DEPARTURE,False,,,False,2020-03-02T05:07:57.000Z,,0,[],,2020-03-02T05:08:02.000Z,LIIKE_AUTOMATIC
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SR,964,FI,ARRIVAL,False,,,False,2020-03-02T05:14:00.000Z,2020-03-02T05:13:16.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SR,964,FI,DEPARTURE,False,,,False,2020-03-02T05:14:00.000Z,2020-03-02T05:13:16.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,PAR,510,FI,ARRIVAL,True,True,1,False,2020-03-02T05:25:00.000Z,2020-03-02T05:27:53.000Z,3,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,PAR,510,FI,DEPARTURE,True,True,1,False,2020-03-02T05:27:00.000Z,2020-03-02T05:28:19.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KIJ,1123,FI,ARRIVAL,False,,,False,2020-03-02T05:28:57.000Z,2020-03-02T05:31:35.000Z,3,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KIJ,1123,FI,DEPARTURE,False,,,False,2020-03-02T05:28:57.000Z,2020-03-02T05:31:41.000Z,3,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SPL,507,FI,ARRIVAL,True,True,2,False,2020-03-02T05:40:00.000Z,2020-03-02T05:41:01.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,SPL,507,FI,DEPARTURE,True,True,2,False,2020-03-02T05:41:00.000Z,2020-03-02T05:41:42.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,RJÄ,506,FI,ARRIVAL,False,,1,False,2020-03-02T05:54:00.000Z,2020-03-02T05:53:20.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,RJÄ,506,FI,DEPARTURE,False,,1,False,2020-03-02T05:54:00.000Z,2020-03-02T05:53:20.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,IM,1352,FI,ARRIVAL,False,,,False,2020-03-02T06:00:48.000Z,,-1,[],,2020-03-02T06:00:08.000Z,LIIKE_AUTOMATIC
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,IM,1352,FI,DEPARTURE,False,,,False,2020-03-02T06:00:48.000Z,,-1,[],,2020-03-02T06:00:08.000Z,LIIKE_AUTOMATIC
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,IMT,502,FI,ARRIVAL,False,,6011,False,2020-03-02T06:04:00.000Z,2020-03-02T06:03:20.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,IMT,502,FI,DEPARTURE,False,,6011,False,2020-03-02T06:04:00.000Z,2020-03-02T06:03:20.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,IMR,603,FI,ARRIVAL,True,True,1,False,2020-03-02T06:07:00.000Z,2020-03-02T06:06:18.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,IMR,603,FI,DEPARTURE,True,True,1,False,2020-03-02T06:09:00.000Z,2020-03-02T06:10:30.000Z,2,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,RAH,501,FI,ARRIVAL,False,,1,False,2020-03-02T06:13:00.000Z,2020-03-02T06:15:28.000Z,2,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,RAH,501,FI,DEPARTURE,False,,1,False,2020-03-02T06:13:00.000Z,2020-03-02T06:15:28.000Z,2,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,JTS,499,FI,ARRIVAL,True,True,1,False,2020-03-02T06:20:00.000Z,2020-03-02T06:21:51.000Z,2,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,JTS,499,FI,DEPARTURE,True,True,1,False,2020-03-02T06:21:00.000Z,2020-03-02T06:23:02.000Z,2,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,MKO,1180,FI,ARRIVAL,False,,1,False,2020-03-02T06:27:00.000Z,2020-03-02T06:27:25.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,MKO,1180,FI,DEPARTURE,False,,1,False,2020-03-02T06:27:00.000Z,2020-03-02T06:27:25.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,LRS,498,FI,ARRIVAL,False,,1,False,2020-03-02T06:32:00.000Z,2020-03-02T06:35:05.000Z,3,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,LRS,498,FI,DEPARTURE,False,,1,False,2020-03-02T06:32:00.000Z,2020-03-02T06:35:05.000Z,3,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,LR,495,FI,ARRIVAL,True,True,1,False,2020-03-02T06:36:00.000Z,2020-03-02T06:38:16.000Z,2,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,LR,495,FI,DEPARTURE,True,True,1,False,2020-03-02T06:38:00.000Z,2020-03-02T06:40:05.000Z,2,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,TAP,1276,FI,ARRIVAL,False,,1,False,2020-03-02T06:43:00.000Z,2020-03-02T06:44:04.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,TAP,1276,FI,DEPARTURE,False,,1,False,2020-03-02T06:43:00.000Z,2020-03-02T06:44:04.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,TRÄ,1290,FI,ARRIVAL,False,,1,False,2020-03-02T06:46:00.000Z,2020-03-02T06:46:25.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,TRÄ,1290,FI,DEPARTURE,False,,1,False,2020-03-02T06:46:00.000Z,2020-03-02T06:46:25.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,RAS,1222,FI,ARRIVAL,False,,1,False,2020-03-02T06:49:00.000Z,2020-03-02T06:49:11.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,RAS,1222,FI,DEPARTURE,False,,1,False,2020-03-02T06:49:00.000Z,2020-03-02T06:49:11.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,LÄ,487,FI,ARRIVAL,False,,2,False,2020-03-02T06:53:00.000Z,2020-03-02T06:52:32.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,LÄ,487,FI,DEPARTURE,False,,2,False,2020-03-02T06:53:00.000Z,2020-03-02T06:52:32.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,TA,486,FI,ARRIVAL,False,,1,False,2020-03-02T06:58:00.000Z,2020-03-02T06:56:57.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,TA,486,FI,DEPARTURE,False,,1,False,2020-03-02T06:58:00.000Z,2020-03-02T06:56:57.000Z,-1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,KJR,944,FI,ARRIVAL,False,,2,False,2020-03-02T07:02:00.000Z,2020-03-02T07:00:42.000Z,-1,[],,,
